Date,MSFT,AAPL,XOM,BP,SBUX
2/1/2011,-0.042355752,0.040119329,0.058376372,0.02084725,0.044961854
3/1/2011,-0.039910422,-0.013395932,-0.011247928,-0.08456153,0.117662331
4/1/2011,0.02065981,0.004637608,0.044746874,0.044313619,-0.020506632
5/1/2011,-0.035739422,-0.006590975,-0.052622555,0.002165,0.016167063
6/1/2011,0.045354415,-0.035585145,-0.019702281,-0.033704582,0.074386473
7/1/2011,0.052446098,0.151248114,-0.019731257,0.025633484,0.01507965
8/1/2011,-0.029631547,-0.014574955,-0.07506299,-0.142880902,-0.037356546
9/1/2011,-0.060153338,-0.009162624,-0.012375244,-0.078373161,-0.031498941
10/1/2011,0.067572461,0.059704704,0.072484156,0.202810522,0.127479485
11/1/2011,-0.04022803,-0.057399529,0.02964947,-0.014362191,0.026096539
12/1/2011,0.022248095,0.057942926,0.058253239,-0.008894437,0.060460992
1/1/2012,0.128849907,0.119657411,-0.012107343,0.071547722,0.040674371
2/1/2012,0.072171061,0.172532908,0.032427639,0.026863378,0.013267013
3/1/2012,0.022812035,0.100102157,0.008113839,-0.036500571,0.144109544
4/1/2012,-0.007467269,-0.026312879,-0.004506995,-0.035972775,0.026136126
5/1/2012,-0.092534498,-0.010760246,-0.093539076,-0.174473866,-0.044190216
6/1/2012,0.053386871,0.010794617,0.091446497,0.118019652,-0.025955231
7/1/2012,-0.037300125,0.044802983,0.014847449,-0.015912538,-0.163445964
8/1/2012,0.044791113,0.085443913,0.005168201,0.052720785,0.09132677
9/1/2012,-0.028395784,0.007076223,0.052919323,0.018465605,0.025809689
10/1/2012,-0.041858924,-0.113840778,-0.003066174,0.012433874,-0.099657823
11/1/2012,-0.069643618,-0.017008539,-0.033799309,-0.026699809,0.122275226
12/1/2012,0.011558781,-0.090570719,-0.011962631,0.009730732,0.037520472
1/1/2013,0.027328362,-0.155588994,0.03875392,0.066877343,0.045383613
2/1/2013,0.012669846,-0.031422318,-0.004679531,-0.097108849,-0.022890075
